Region	Gene	importance_R2G	rho_R2G	importance_x_rho	importance_x_abs_rho	TF	is_extended	eRegulon_name	Gene_signature_name	Region_signature_name	importance_TF2G	regulation	rho_TF2G	triplet_rank
chr18:50193017-50194067	MBD1	0.0603461045513615	0.0832864994969461	0.0050260158063596	0.0050260158063596	BACH2	True	BACH2_extended_+/+	BACH2_extended_+/+_(37g)	BACH2_extended_+/+_(37r)	1.738461128795927	1	0.067676529351955	3072
chr9:131743280-131745429	RAPGEF1	0.0304999759814273	0.0841588034617756	0.0025668414842098	0.0025668414842098	BACH2	True	BACH2_extended_+/+	BACH2_extended_+/+_(37g)	BACH2_extended_+/+_(37r)	0.7935868884661492	1	0.0628067475750703	4407
chr2:214547732-214548679	SPAG16	0.0949770867708575	0.1348404133117711	0.0128067496353303	0.0128067496353303	BACH2	True	BACH2_extended_+/+	BACH2_extended_+/+_(37g)	BACH2_extended_+/+_(37r)	0.6720951982994875	1	0.0622628348859277	2534
chr6:90368728-90369919	MAP3K7	0.0502152711230788	0.0794201696661889	0.0039881053524286	0.0039881053524286	BACH2	True	BACH2_extended_+/+	BACH2_extended_+/+_(37g)	BACH2_extended_+/+_(37r)	2.22527449163805	1	0.1232154444853356	1034
chr11:129312628-129314076	ARHGAP32	0.039614268633545	0.1863680808551902	0.0073828352197157	0.0073828352197157	BACH2	True	BACH2_extended_+/+	BACH2_extended_+/+_(37g)	BACH2_extended_+/+_(37r)	0.7537152446062296	1	0.1394314676975604	5047
chr11:74138238-74139379	PPME1	0.0555225367260416	0.0690039215816139	0.003831272770256	0.003831272770256	BACH2	True	BACH2_extended_+/+	BACH2_extended_+/+_(37g)	BACH2_extended_+/+_(37r)	0.7001758717765609	1	0.0856467785111742	4777
chr2:196783260-196784230	C2orf66	0.0741013172366035	0.0793829846805416	0.0058823837310012	0.0058823837310012	BACH2	True	BACH2_extended_+/+	BACH2_extended_+/+_(37g)	BACH2_extended_+/+_(37r)	0.7214821239490742	1	0.1165570924495638	3562
chr6:90368728-90369919	BACH2	0.0418954378046245	0.1255844786945315	0.0052614167163729	0.0052614167163729	BACH2	True	BACH2_extended_+/+	BACH2_extended_+/+_(37g)	BACH2_extended_+/+_(37r)	5.027357713549092	1	1.0	687
chr9:4832688-4833672	CDC37L1	0.0406156700112419	0.0695788847317557	0.0028259930220152	0.0028259930220152	BACH2	True	BACH2_extended_+/+	BACH2_extended_+/+_(37g)	BACH2_extended_+/+_(37r)	0.6545157719802988	1	0.0673750786887004	3577
chr14:50762299-50763271	PYGL	0.0402117460564401	0.1427373079054158	0.0057397163782724	0.0057397163782724	BACH2	True	BACH2_extended_+/+	BACH2_extended_+/+_(37g)	BACH2_extended_+/+_(37r)	5.0273477135490925	1	0.1622551423400665	2164
