"","gene","peak","pval","test_stat","covar","padj","cor","Cell_Condition"
"1","CELF2","chr10-10564902-10565789",1.26388856500338e-06,4.84534970851591,2.08596113572539e-09,0.00349462105568398,0,"L6_IT_1_Ctrl"
"2","NEGR1","chr1-72117283-72118278",9.22228466159368e-09,5.744445216284,2.81318105572483e-09,7.84106308782679e-05,1,"L6_IT_1_Ctrl"
"3","AUTS2","chr7-69217230-69218193",4.5871433203288e-05,4.0757238362133,1.17867861576994e-09,0.040104132290418,1,"L6_IT_1_Ctrl"
"4","NRCAM","chr7-108197155-108197934",4.72472941935868e-05,4.06884238268819,9.67744731692385e-10,0.0405768352951649,0,"L6_IT_1_Ctrl"
"5","LRRC4C","chr11-41532415-41533360",7.77160586149974e-07,4.94101718217354,1.96798255014849e-09,0.00244727868578627,0,"L6_IT_1_Ctrl"
"6","LRRC4C","chr11-41244836-41246908",5.0413864304757e-06,4.56305806572202,4.67650978669083e-09,0.00957840890454381,0.696222591100064,"L6_IT_1_Ctrl"
"7","NRG1","chr8-32120068-32121245",5.6853025763932e-05,4.0255056066204,2.80236649305538e-09,0.0450705343545621,0,"L6_IT_1_Ctrl"
"8","SLC8A1","chr2-40354095-40355014",2.14060039256221e-06,4.73967618134421,9.36128529228877e-10,0.005058099769554,0,"L6_IT_1_Ctrl"
"9","TANC2","chr17-63476482-63477660",5.65571230343632e-05,4.02673329069814,2.02411184774425e-09,0.0449407128200996,0,"L6_IT_1_Ctrl"
"10","PCLO","chr7-83270970-83271983",1.62897950919191e-05,4.31048354478789,6.80763128675516e-10,0.0212261647218427,0,"L6_IT_1_Ctrl"
"11","CALM1","chr14-90717441-90718211",2.00547200912624e-08,5.61152854269821,3.60217032386243e-09,0.000136408997305552,1,"L6_IT_1_Ctrl"
"12","LARGE1","chr22-34210087-34211206",6.59869166971029e-05,3.99031027051068,1.87453809854282e-09,0.0495400054599362,1,"L6_IT_1_Ctrl"
"13","MAGI1","chr3-65902318-65903375",1.08093588221925e-09,6.09697622553791,1.18266619089199e-09,1.54949040374217e-05,0,"L6_IT_1_Ctrl"
"14","FOCAD","chr9-20678180-20679528",5.12029629677098e-05,4.05006703568388,7.10481279285694e-10,0.0425357163512592,0,"L6_IT_1_Ctrl"
"15","RAPGEF5","chr7-22169464-22170557",3.81229033974791e-05,4.11857104847525,1.14383569699358e-09,0.0354243018094411,0,"L6_IT_1_Ctrl"
"16","HS3ST4","chr16-25262128-25263079",6.55067612329969e-05,3.99204202036904,4.74721317200527e-10,0.0494928757281276,0,"L6_IT_1_Ctrl"
"17","TENM4","chr11-78980859-78981846",3.89626598026547e-05,4.11354644925914,1.61963228127661e-09,0.0360078502652295,0,"L6_IT_1_Ctrl"
"18","CAMK2D","chr4-114186250-114187340",2.52971175941176e-05,4.21213240963288,4.75368426984284e-10,0.0278060083788552,0,"L6_IT_1_Ctrl"
"19","SORCS1","chr10-107036840-107037863",5.53888051987382e-06,4.5432678252853,1.48191790087487e-09,0.0102376573574181,0.774626528327693,"L6_IT_1_Ctrl"
"20","VSNL1","chr2-17579654-17580577",1.73132939502759e-07,5.22608911491613,1.3553385238596e-09,0.000726927501992251,0,"L6_IT_1_Ctrl"
"21","UCHL1","chr4-41069348-41070389",5.10180508198722e-05,4.0509135713199,1.3512601493286e-09,0.0425265464201764,0,"L6_IT_1_Ctrl"
"22","UCHL1","chr4-41613615-41614392",1.38013571045971e-05,4.34699785096159,1.57299143763829e-09,0.0190802078878725,0,"L6_IT_1_Ctrl"
"23","HCN1","chr5-45520615-45521646",6.34240750604818e-05,3.99969535397498,4.8876427473205e-10,0.048579768352113,0,"L6_IT_1_Ctrl"
"24","EXOC4","chr7-133056440-133057605",2.93175398598418e-07,5.12778215490871,1.26648390878743e-09,0.0011078511962237,1,"L6_IT_1_Ctrl"
"25","PRKG1","chr10-50606625-50607919",8.94676907500941e-06,4.44117813798449,1.25555388454499e-09,0.0143524744729156,0,"L6_IT_1_Ctrl"
"26","OLFM3","chr1-101922541-101923680",7.14880427579361e-08,5.38739039692257,4.30355985495394e-10,0.00035033801298022,1,"L6_IT_1_Ctrl"
"27","MGAT4C","chr12-86838356-86839391",2.55212216788104e-05,4.21014024219063,5.46942382805957e-10,0.0278191132153526,0,"L6_IT_1_Ctrl"
"28","ATXN1","chr6-16985510-16986522",1.2350550963717e-09,6.07562528331804,1.11075354282081e-09,1.68012943134097e-05,0,"L6_IT_1_Ctrl"
"29","NTM","chr11-131389029-131389980",5.63176710245901e-05,4.02773122584715,1.19221880645309e-09,0.0448552444358194,0,"L6_IT_1_Ctrl"
"30","AMPH","chr7-38721517-38722388",2.76303952960985e-05,4.19216578861806,1.00966832050025e-09,0.0292672577978272,0,"L6_IT_1_Ctrl"
"31","ROBO1","chr3-80121976-80123043",3.31812859856142e-05,4.15045647772684,1.39446123721118e-09,0.0328690089076487,0,"L6_IT_1_Ctrl"
"32","GUCY1A2","chr11-107212951-107213937",4.86397980196598e-05,4.06206850425567,1.10509895634956e-09,0.0410471617570773,0,"L6_IT_1_Ctrl"
"33","PDE4B","chr1-66022865-66023832",1.31537653324062e-05,4.35753136484679,6.71890952828324e-10,0.0184687605390446,0,"L6_IT_1_Ctrl"
"34","PDE4B","chr1-65943722-65944724",9.01637665178179e-06,4.43951037930602,9.22052281188811e-10,0.0143962327148252,0.737082976880499,"L6_IT_1_Ctrl"
"35","GAPDH","chr12-6829067-6829909",5.29057130429178e-05,4.04240516326077,1.35888475054012e-09,0.0430482503594997,1,"L6_IT_1_Ctrl"
"36","HDAC9","chr7-18573116-18574086",7.15817038633594e-06,4.48893032314041,5.8516419040379e-10,0.0122560346517285,0,"L6_IT_1_Ctrl"
"37","HDAC9","chr7-17745560-17746544",4.30473389806872e-09,5.87203670879937,9.64943103213098e-10,4.43638048746057e-05,1,"L6_IT_1_Ctrl"
"38","HDAC9","chr7-18103448-18104534",4.82688615534251e-08,5.45757230503124,8.15346660136393e-10,0.000256497713491054,0,"L6_IT_1_Ctrl"
"39","HDAC9","chr7-18308959-18309804",5.3359559887913e-05,4.04040243503996,4.92283294011296e-10,0.0433106430582342,0,"L6_IT_1_Ctrl"
"40","EPHA5","chr4-65527853-65528849",7.7128437081525e-08,5.37372037456444,1.69003590765307e-09,0.000369447386252535,1,"L6_IT_1_Ctrl"
"41","STMN1","chr1-25618822-25619750",5.29097086972669e-05,4.04238746037963,1.5348739404778e-09,0.0430482503594997,0,"L6_IT_1_Ctrl"
"42","KCTD8","chr4-44668746-44669726",5.09031567526261e-06,4.56103061953711,5.6876161953335e-10,0.00961764243684117,0,"L6_IT_1_Ctrl"
"43","KCTD8","chr4-44802230-44803225",1.92904491267799e-06,4.76071898854715,1.1346680749762e-09,0.00475400538001799,1,"L6_IT_1_Ctrl"
"44","PCNX1","chr14-71235556-71236494",4.68063837048255e-05,4.07102669962869,1.01905790202218e-09,0.0403478523138019,1,"L6_IT_1_Ctrl"
"45","PID1","chr2-229676517-229677472",3.89026353110434e-05,4.11390217232199,4.82746724323723e-10,0.0360078502652295,0,"L6_IT_1_Ctrl"
"46","CAMK2A","chr5-149887540-149888464",4.21610242329637e-06,4.60043466710223,4.80471252518235e-10,0.00828822373031045,0,"L6_IT_1_Ctrl"
"47","FOXP2","chr7-114085878-114086729",2.12138628914568e-05,4.25171614900463,7.85653699477965e-10,0.0247926634312073,0,"L6_IT_1_Ctrl"
"48","ACTB","chr7-5071647-5072615",5.1672489547561e-05,4.04793047317467,1.07107233933992e-09,0.0425506060900947,1,"L6_IT_1_Ctrl"
"49","ACTB","chr7-5629680-5630606",1.12498541345942e-05,4.39164061620305,1.01131102238128e-09,0.0167806376857124,1,"L6_IT_1_Ctrl"
"50","ACTB","chr7-5258058-5259029",1.04759637831513e-06,4.88248043228522,1.46896330405792e-09,0.00308107823685464,0.8811769090799,"L6_IT_1_Ctrl"
"51","ACTB","chr7-5491078-5491966",7.21089026163962e-08,5.38583547158382,1.13018659115528e-09,0.00035033801298022,1,"L6_IT_1_Ctrl"
"52","PIK3R1","chr5-68229200-68229995",4.29985237474051e-05,4.09074740957458,6.00619399220811e-10,0.0384827735218487,0,"L6_IT_1_Ctrl"
"53","HSP90AB1","chr6-44043937-44045007",1.26785562009988e-05,4.36558056184823,1.54203203074969e-09,0.0181935676603802,0.719088152092617,"L6_IT_1_Ctrl"
"54","SPECC1","chr17-20365272-20366271",1.28680404866062e-05,4.36233708039032,5.10287435701315e-10,0.0183109524065726,0,"L6_IT_1_Ctrl"
"55","OSBPL8","chr12-76790609-76791466",2.18186890034403e-05,4.24541738518687,3.4692783733581e-10,0.0252393251039389,0,"L6_IT_1_Ctrl"
"56","NOS1AP","chr1-161725406-161726356",3.37386766063648e-07,5.10126724163304,9.44809768325219e-10,0.00123379075316256,0,"L6_IT_1_Ctrl"
"57","NCALD","chr8-101764731-101765682",9.10474614873331e-06,4.43741073015327,1.36168620178215e-09,0.0144020991963489,1,"L6_IT_1_Ctrl"
"58","STOX2","chr4-183388551-183389479",1.42258157131335e-06,4.82181457278677,7.43017854963559e-10,0.00390168235283145,1,"L6_IT_1_Ctrl"
"59","POU2F1","chr1-167119147-167120136",2.14625746320465e-06,4.73914135625325,7.66453047363902e-10,0.005058099769554,1,"L6_IT_1_Ctrl"
"60","TOX","chr8-59269694-59270623",4.57470823954177e-09,5.86194708412457,5.70991569177546e-10,4.50474393121265e-05,0,"L6_IT_1_Ctrl"
"61","PDZRN4","chr12-41438791-41439623",2.59202743822774e-06,4.70075390345413,7.08045241772683e-10,0.0056997292577898,0,"L6_IT_1_Ctrl"
"62","DYM","chr18-49193535-49194568",6.4467026306347e-05,3.99583352288329,4.50486393934352e-10,0.049048590403978,0,"L6_IT_1_Ctrl"
"63","CDKAL1","chr6-20333820-20334887",4.17482147657507e-05,4.09758541009178,1.46967031926172e-09,0.0376610977615748,1,"L6_IT_1_Ctrl"
"64","ARPP19","chr15-52653101-52654079",1.39828607261462e-05,4.34413014183588,1.1480359053273e-09,0.0191027256829224,1,"L6_IT_1_Ctrl"
"65","CAMSAP2","chr1-200625089-200625984",3.68991543767386e-05,4.12608462024787,6.9012183707893e-10,0.0351515608131478,0,"L6_IT_1_Ctrl"
"66","PDZRN3","chr3-74083512-74084506",6.0557875472698e-06,4.52443215143802,6.2685426413929e-10,0.0110727145082047,0,"L6_IT_1_Ctrl"
"67","EIF4A2","chr3-186990419-186991362",1.62498326620913e-05,4.31102663766205,7.7049709060552e-10,0.0212261647218427,0,"L6_IT_1_Ctrl"
"68","NDST3","chr4-118450230-118451171",7.09430827986144e-07,4.95876400489723,2.98968615306799e-10,0.00225487616029405,0,"L6_IT_1_Ctrl"
"69","VAMP2","chr17-8126370-8127295",1.64398193388842e-05,4.30845597178837,1.4976839116999e-09,0.021258749196197,1,"L6_IT_1_Ctrl"
"70","YWHAB","chr20-45319263-45320218",2.68149995073794e-06,4.69382000353453,7.62558568301122e-10,0.0056997292577898,1,"L6_IT_1_Ctrl"
"71","STMN2","chr8-79783347-79784446",6.4407963072574e-05,3.99605063659327,1.98104085910602e-09,0.049048590403978,1,"L6_IT_1_Ctrl"
"72","STMN2","chr8-79764952-79765896",4.19277445138014e-07,5.05999046459919,1.87484887153858e-09,0.00145502964154977,0,"L6_IT_1_Ctrl"
"73","STMN2","chr8-79648776-79649639",3.10812738614974e-09,5.92578303493513,1.95893260072714e-09,3.55926604761541e-05,1,"L6_IT_1_Ctrl"
"74","STMN2","chr8-79634053-79635059",3.37301588146759e-05,4.14669997392538,1.29238731741257e-09,0.0330586662005785,0.868972323505801,"L6_IT_1_Ctrl"
"75","PPFIBP1","chr12-27141742-27142736",1.31961610710861e-05,4.35682679439987,5.33616853823502e-10,0.0184687605390446,1,"L6_IT_1_Ctrl"
"76","ALCAM","chr3-104947090-104948184",1.06728728765785e-08,5.71967383971616,1.77600596185385e-10,8.23015454022247e-05,0,"L6_IT_1_Ctrl"
"77","OLFM1","chr9-135091286-135092262",4.1917261680935e-05,4.09664961387824,1.13229151030524e-09,0.0377135591523612,1,"L6_IT_1_Ctrl"
"78","DNAJC1","chr10-21955816-21957307",8.08830596280655e-09,5.76660763630995,7.21851906762696e-10,7.23886355658633e-05,0,"L6_IT_1_Ctrl"
"79","RAP1GAP2","chr17-3164828-3166510",1.55355543647459e-05,4.32095473508184,3.60620079353343e-10,0.0206198082298734,1,"L6_IT_1_Ctrl"
"80","SUMF1","chr3-4633048-4634003",5.6070134549982e-05,4.02876708759979,3.6740213488525e-10,0.044787100225037,0,"L6_IT_1_Ctrl"
"81","CALM3","chr19-46296375-46297471",2.11828918605116e-05,4.25204326957203,6.73884511545731e-10,0.0247926634312073,1,"L6_IT_1_Ctrl"
"82","ZNF407","chr18-74741472-74742589",6.64037814372262e-06,4.50490135591431,5.31551441025077e-10,0.0118775555899635,1,"L6_IT_1_Ctrl"
"83","MAN1A1","chr6-119110260-119111301",3.14916594209266e-05,4.16240251865819,3.00579245230417e-10,0.0320043265681989,0,"L6_IT_1_Ctrl"
"84","MAN1A1","chr6-119566377-119567447",3.81182166401674e-05,4.11859938492931,1.98081496232677e-10,0.0354243018094411,0,"L6_IT_1_Ctrl"
"85","ADAM10","chr15-58398018-58398806",1.53631838650633e-05,4.32341572863067,4.18826892152004e-10,0.0205704564056579,1,"L6_IT_1_Ctrl"
"86","RNF150","chr4-141026772-141027722",7.6200562608164e-06,4.47559007912869,6.35626841878601e-10,0.0126954631821601,1,"L6_IT_1_Ctrl"
"87","TUBA1A","chr12-49295026-49295913",4.85805455836185e-05,4.06235297230889,3.36597626957227e-10,0.0410471617570773,0,"L6_IT_1_Ctrl"
"88","CCDC6","chr10-60266271-60267225",4.32059768738579e-05,4.08963112089024,5.39949208171856e-10,0.0385669477348663,1,"L6_IT_1_Ctrl"
"89","ESRRG","chr1-216785333-216786252",7.15118530178704e-06,4.4891383209832,1.45252894824318e-09,0.0122560346517285,0,"L6_IT_1_Ctrl"
"90","CUX2","chr12-111362708-111363634",4.27607364496466e-15,7.84655907721489,1.65751232433648e-10,7.27129219031661e-10,1,"L6_IT_1_Ctrl"
"91","CUX2","chr12-111261637-111262591",6.14281154733932e-13,7.19727428868149,1.24923736741436e-10,2.61140133094716e-08,0,"L6_IT_1_Ctrl"
